APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
FORESTAL PRODUCTIVO,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,2432.493171
PROTECCION,ANCASH,RECUAY,HUAYLLAPAMPA,9365.200377
PECUARIO,CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,2681.548886
PROTECCION,CAJAMARCA,SAN PABLO,SAN BERNARDINO,15582.37508
PROTECCION,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,15542.65809
PROTECCION,JUNIN,JAUJA,HUARIPAMPA,100.7221311
OTROS / SIN CLASIFICAR,HUANUCO,LEONCIO PRADO,LUYANDO,530.6768088
FORESTAL PRODUCTIVO,ANCASH,BOLOGNESI,LA PRIMAVERA,4684.753207
AGRICOLA,ANCASH,SANTA,CHIMBOTE,22848.47819
PROTECCION,JUNIN,TARMA,TARMA,32248.74931
AGRICOLA,HUANUCO,MARAÑON,CHOLON,10446.58675
PECUARIO,JUNIN,CHANCHAMAYO,CHANCHAMAYO,797.4670774
AGRICOLA,CAJAMARCA,CHOTA,LLAMA,3839.04973
PROTECCION,JUNIN,HUANCAYO,INGENIO,1504.006347
AGRICOLA,CAJAMARCA,CHOTA,CHOTA,5891.219787
PROTECCION,ANCASH,YUNGAY,YANAMA,18629.17564
PROTECCION,CAJAMARCA,CHOTA,PION,10776.01158
PROTECCION,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,1325.732877
AGRICOLA,SAN MARTIN,PICOTA,SAN HILARION,368.8947763
FORESTAL PRODUCTIVO,CAJAMARCA,JAEN,JAEN,8407.852719
FORESTAL PRODUCTIVO,PASCO,PASCO,HUAYLLAY,27995.09201
PROTECCION,MADRE DE DIOS,MANU,FITZCARRALD,872396.5771
PROTECCION,ANCASH,SANTA,CHIMBOTE,121609.4355
PROTECCION,SAN MARTIN,RIOJA,RIOJA,2900.592037
PECUARIO,CAJAMARCA,CELENDIN,JOSE GALVEZ,988.8554225
AGRICOLA,JUNIN,HUANCAYO,CHILCA,1542.306963
FORESTAL PRODUCTIVO,ANCASH,CARHUAZ,YUNGAR,1951.940202
PROTECCION,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,5587.804311
AGRICOLA,SAN MARTIN,MARISCAL CACERES,PACHIZA,673.7404537
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,CHIMBAN,12073.40421
PECUARIO,HUANUCO,PUERTO INCA,TOURNAVISTA,2042.513945
FORESTAL PRODUCTIVO,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,161505.5024
AGRICOLA,CAJAMARCA,CHOTA,LAJAS,1856.042974
AGRICOLA,JUNIN,CHANCHAMAYO,VITOC,928.2617818
PROTECCION,MADRE DE DIOS,TAHUAMANU,IÑAPARI,788147.8494
PROTECCION,JUNIN,CHANCHAMAYO,VITOC,38349.80909
PECUARIO,CAJAMARCA,SAN IGNACIO,CHIRINOS,5197.269657
AGRICOLA,JUNIN,SATIPO,COVIRIALI,1320.533761
FORESTAL PRODUCTIVO,SAN MARTIN,SAN MARTIN,EL PORVENIR,40853.17573
AGRICOLA,JUNIN,CONCEPCION,MITO,1285.990072
PROTECCION,CAJAMARCA,SAN IGNACIO,HUARANGO,5773.161046
AGRICOLA,JUNIN,SATIPO,VIZCATÁN DEL ENE,2913.557149
PROTECCION,SAN MARTIN,SAN MARTIN,SAN ANTONIO,3826.433405
PROTECCION,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,367.2686913
PROTECCION,ANCASH,MARISCAL LUZURIAGA,LUCMA,2081.037793
AGRICOLA,SAN MARTIN,LAMAS,CAYNARACHI,593.6013092
FORESTAL PRODUCTIVO,CAJAMARCA,SANTA CRUZ,NINABAMBA,4992.042938
PROTECCION,CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,6650.341105
PROTECCION,ANCASH,MARISCAL LUZURIAGA,LLUMPA,8181.205409
OTROS / SIN CLASIFICAR,JUNIN,JAUJA,YAUYOS,0.272748583
PECUARIO,CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,2764.506191
AGRICOLA,ANCASH,HUAYLAS,HUAYLAS,554.9452202
AGRICOLA,ANCASH,RECUAY,TAPACOCHA,73.01019068
PROTECCION,JUNIN,SATIPO,SATIPO,73186.41992
FORESTAL PRODUCTIVO,CAJAMARCA,CELENDIN,JORGE CHAVEZ,678.8960619
FORESTAL PRODUCTIVO,CAJAMARCA,SAN PABLO,TUMBADEN,16313.19997
